Operon type	Target	AssemblyId	Gene direction	Gene start	Gene end	Relative gene start	Relative gene end	Protein family code	EntrzID	Protein name	Superkingdom	Phylum	Class	Order	Genus	Species

Type	A0A011QSN2	GCA_000585095.1	+	6092	6775	-3301	-2618	0	EXI92144.1	putative signal peptide peptidase SppA	na	na_na	na_na_na	na_na_na_na	Candidatus	Candidatus Accumulibacter sp. BA-94
Type	A0A011QSN2	GCA_000585095.1	+	5041	5823	-2349	-1567	0	EXI92143.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Candidatus	Candidatus Accumulibacter sp. BA-94
Type	A0A011QSN2	GCA_000585095.1	+	4056	4871	-1397	-582	0	EXI92142.1	phage major capsid protein%2C HK97 family	na	na_na	na_na_na	na_na_na_na	Candidatus	Candidatus Accumulibacter sp. BA-94
Type	A0A011QSN2	GCA_000585095.1	+	3524	3778	-304	-50	0	EXI92141.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Candidatus	Candidatus Accumulibacter sp. BA-94
Type	A0A011QSN2	GCA_000585095.1	+	3027	3473	1	447	0	EXI92140.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Candidatus	Candidatus Accumulibacter sp. BA-94
Type	A0A011QSN2	GCA_000585095.1	+	2400	3023	451	1074	0	EXI92139.1	Phage gp6-like head-tail connector protein	na	na_na	na_na_na	na_na_na_na	Candidatus	Candidatus Accumulibacter sp. BA-94
Type	A0A011QSN2	GCA_000585095.1	+	2053	2400	1074	1421	0	EXI92138.1	putative phage head-tail adaptor	na	na_na	na_na_na	na_na_na_na	Candidatus	Candidatus Accumulibacter sp. BA-94
Type	A0A011QSN2	GCA_000585095.1	+	1692	2060	1414	1782	0	EXI92137.1	phage protein%2C HK97 gp10 family	na	na_na	na_na_na	na_na_na_na	Candidatus	Candidatus Accumulibacter sp. BA-94
Type	A0A011QSN2	GCA_000585095.1	+	1339	1695	1779	2135	0	EXI92136.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Candidatus	Candidatus Accumulibacter sp. BA-94

Type	A0A011NMI8	GCA_000584995.1	+	165557	166384	-3711	-2884	0	EXI76500.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Candidatus	Candidatus Accumulibacter sp. SK-11
Type	A0A011NMI8	GCA_000584995.1	+	164415	165560	-2887	-1742	0	EXI76499.1	putative plant photosystem II stability/assembly factor	na	na_na	na_na_na	na_na_na_na	Candidatus	Candidatus Accumulibacter sp. SK-11
Type	A0A011NMI8	GCA_000584995.1	+	163192	164418	-1745	-519	0	EXI76498.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Candidatus	Candidatus Accumulibacter sp. SK-11
Type	A0A011NMI8	GCA_000584995.1	+	162683	163195	-522	-10	0	EXI76497.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Candidatus	Candidatus Accumulibacter sp. SK-11
Type	A0A011NMI8	GCA_000584995.1	+	161899	162672	1	774	0	EXI76496.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Candidatus	Candidatus Accumulibacter sp. SK-11
Type	A0A011NMI8	GCA_000584995.1	+	160321	161886	787	2352	0	EXI76495.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Candidatus	Candidatus Accumulibacter sp. SK-11
Type	A0A011NMI8	GCA_000584995.1	+	158498	160318	2355	4175	0	EXI76494.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Candidatus	Candidatus Accumulibacter sp. SK-11
Type	A0A011NMI8	GCA_000584995.1	+	157466	158485	4188	5207	0	EXI76493.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Candidatus	Candidatus Accumulibacter sp. SK-11
Type	A0A011NMI8	GCA_000584995.1	+	157131	157466	5207	5542	0	EXI76492.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Candidatus	Candidatus Accumulibacter sp. SK-11

Type	A0A011P9Z5	GCA_000584995.1	+	114195	114314	-11353	-11234	0	EXI73739.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Candidatus	Candidatus Accumulibacter sp. SK-11
Type	A0A011P9Z5	GCA_000584995.1	+	110952	111143	-8182	-7991	0	EXI73738.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Candidatus	Candidatus Accumulibacter sp. SK-11
