Operon type	Target	AssemblyId	Gene direction	Gene start	Gene end	Relative gene start	Relative gene end	Protein family code	EntrzID	Protein name	Superkingdom	Phylum	Class	Order	Genus	Species

Type	A0A011V8Y9	GCF_000585625.1	+	49601	49903	-3148	-2846	0	WP_245264734.1	GNAT family N-acetyltransferase	na	na_na	na_na_na	na_na_na_na	Aquamicrobium	Aquamicrobium defluvii
Type	A0A011V8Y9	GCF_000585625.1	+	48874	49407	-2652	-2119	0	WP_035027934.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Aquamicrobium	Aquamicrobium defluvii
Type	A0A011V8Y9	GCF_000585625.1	+	47844	48167	-1412	-1089	0	WP_035027931.1	DUF736 family protein	na	na_na	na_na_na	na_na_na_na	Aquamicrobium	Aquamicrobium defluvii
Type	A0A011V8Y9	GCF_000585625.1	+	47452	47778	-1023	-697	0	WP_035027927.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Aquamicrobium	Aquamicrobium defluvii
Type	A0A011V8Y9	GCF_000585625.1	+	46194	46754	1	561	0	WP_051520630.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Aquamicrobium	Aquamicrobium defluvii
Type	A0A011V8Y9	GCF_000585625.1	-	45658	46074	681	1097	0	WP_035027924.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Aquamicrobium	Aquamicrobium defluvii
Type	A0A011V8Y9	GCF_000585625.1	-	44981	45661	1094	1774	0	WP_035027921.1	ParA family protein	na	na_na	na_na_na	na_na_na_na	Aquamicrobium	Aquamicrobium defluvii
Type	A0A011V8Y9	GCF_000585625.1	+	44120	44527	2228	2635	0	WP_035027918.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Aquamicrobium	Aquamicrobium defluvii
Type	A0A011V8Y9	GCF_000585625.1	+	41865	44123	2632	4890	0	WP_035027906.1	relaxase/mobilization nuclease domain-containing protein	na	na_na	na_na_na	na_na_na_na	Aquamicrobium	Aquamicrobium defluvii

Type	A0A011VMV7	GCF_000585625.1	+	111031	111381	-1583	-1233	0	WP_035024429.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Aquamicrobium	Aquamicrobium defluvii
Type	A0A011VMV7	GCF_000585625.1	+	110341	110976	-1178	-543	0	WP_035024427.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Aquamicrobium	Aquamicrobium defluvii
Type	A0A011VMV7	GCF_000585625.1	+	110153	110344	-546	-355	0	WP_035024425.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Aquamicrobium	Aquamicrobium defluvii
Type	A0A011VMV7	GCF_000585625.1	+	109794	110153	-355	4	0	WP_035024423.1	RusA family crossover junction endodeoxyribonuclease	na	na_na	na_na_na	na_na_na_na	Aquamicrobium	Aquamicrobium defluvii
Type	A0A011VMV7	GCF_000585625.1	+	109582	109797	1	216	0	WP_035024421.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Aquamicrobium	Aquamicrobium defluvii
Type	A0A011VMV7	GCF_000585625.1	+	109190	109585	213	608	0	WP_035024419.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Aquamicrobium	Aquamicrobium defluvii
Type	A0A011VMV7	GCF_000585625.1	+	108998	109186	612	800	0	WP_035024417.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Aquamicrobium	Aquamicrobium defluvii
Type	A0A011VMV7	GCF_000585625.1	+	108639	109001	797	1159	0	WP_156953458.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Aquamicrobium	Aquamicrobium defluvii
Type	A0A011VMV7	GCF_000585625.1	+	108143	108616	1182	1655	0	WP_035024398.1	GIY-YIG nuclease family protein	na	na_na	na_na_na	na_na_na_na	Aquamicrobium	Aquamicrobium defluvii

Type	A0A011VNE2	GCF_004363725.1	-	170708	171412	-3606	-2902	0	WP_133674767.1	4Fe-4S dicluster domain-containing protein	na	na_na	na_na_na	na_na_na_na	Aquamicrobium	Aquamicrobium defluvii
Type	A0A011VNE2	GCF_004363725.1	-	169026	170612	-2806	-1220	0	WP_035023780.1	trimethylamine methyltransferase family protein	na	na_na	na_na_na	na_na_na_na	Aquamicrobium	Aquamicrobium defluvii
Type	A0A011VNE2	GCF_004363725.1	+	168065	168763	-957	-259	0	WP_035023782.1	B12-binding domain-containing protein	na	na_na	na_na_na	na_na_na_na	Aquamicrobium	Aquamicrobium defluvii
Type	A0A011VNE2	GCF_004363725.1	-	167870	167998	-192	-64	0	WP_063608040.1	entericidin A/B family lipoprotein	na	na_na	na_na_na	na_na_na_na	Aquamicrobium	Aquamicrobium defluvii
Type	A0A011VNE2	GCF_004363725.1	+	167164	167805	1	642	0	WP_035023784.1	DUF1638 domain-containing protein	na	na_na	na_na_na	na_na_na_na	Aquamicrobium	Aquamicrobium defluvii
Type	A0A011VNE2	GCF_004363725.1	+	166559	167128	678	1247	0	WP_133674766.1	DUF4893 domain-containing protein	na	na_na	na_na_na	na_na_na_na	Aquamicrobium	Aquamicrobium defluvii
Type	A0A011VNE2	GCF_004363725.1	+	166063	166365	1441	1743	0	WP_035023787.1	virulence factor	na	na_na	na_na_na	na_na_na_na	Aquamicrobium	Aquamicrobium defluvii
Type	A0A011VNE2	GCF_004363725.1	+	165426	166070	1736	2380	0	WP_051520398.1	methylenetetrahydrofolate reductase C-terminal domain-containing protein	na	na_na	na_na_na	na_na_na_na	Aquamicrobium	Aquamicrobium defluvii
Type	A0A011VNE2	GCF_004363725.1	+	164329	165429	2377	3477	0	WP_035023789.1	methylenetetrahydrofolate reductase	na	na_na	na_na_na	na_na_na_na	Aquamicrobium	Aquamicrobium defluvii

Type	A0A011VSC9	GCF_000586615.1	+	1083219	1084304	-4939	-3854	0	WP_024856337.1	aspartate-semialdehyde dehydrogenase	na	na_na	na_na_na	na_na_na_na	Ruminococcus	Ruminococcus albus SY3
Type	A0A011VSC9	GCF_000586615.1	+	1082227	1083123	-3758	-2862	0	WP_037290374.1	4-hydroxy-tetrahydrodipicolinate synthase	na	na_na	na_na_na	na_na_na_na	Ruminococcus	Ruminococcus albus SY3
Type	A0A011VSC9	GCF_000586615.1	+	1081393	1082151	-2786	-2028	0	WP_037290372.1	4-hydroxy-tetrahydrodipicolinate reductase	na	na_na	na_na_na	na_na_na_na	Ruminococcus	Ruminococcus albus SY3
Type	A0A011VSC9	GCF_000586615.1	+	1079383	1081053	-1688	-18	0	WP_037290371.1	formate--tetrahydrofolate ligase	na	na_na	na_na_na	na_na_na_na	Ruminococcus	Ruminococcus albus SY3
Type	A0A011VSC9	GCF_000586615.1	+	1078165	1079364	1	1200	0	WP_037290369.1	DUF3810 domain-containing protein	na	na_na	na_na_na	na_na_na_na	Ruminococcus	Ruminococcus albus SY3
Type	A0A011VSC9	GCF_000586615.1	+	1077689	1078150	1215	1676	0	WP_037290367.1	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE	na	na_na	na_na_na	na_na_na_na	Ruminococcus	Ruminococcus albus SY3
Type	A0A011VSC9	GCF_000586615.1	+	1077016	1077708	1657	2349	0	WP_037290365.1	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	na	na_na	na_na_na	na_na_na_na	Ruminococcus	Ruminococcus albus SY3
Type	A0A011VSC9	GCF_000586615.1	+	1076752	1076940	2425	2613	0	WP_024856346.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Ruminococcus	Ruminococcus albus SY3
Type	A0A011VSC9	GCF_000586615.1	+	1076272	1076712	2653	3093	0	WP_037290364.1	ribose 5-phosphate isomerase B	na	na_na	na_na_na	na_na_na_na	Ruminococcus	Ruminococcus albus SY3

Type	A0A011VUV0	GCF_000586615.1	+	114326	115765	-2346	-907	0	WP_024858477.1	adenylosuccinate lyase	na	na_na	na_na_na	na_na_na_na	Ruminococcus	Ruminococcus albus SY3
Type	A0A011VUV0	GCF_000586615.1	+	115800	116009	-872	-663	0	WP_037288083.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Ruminococcus	Ruminococcus albus SY3
Type	A0A011VUV0	GCF_000586615.1	+	116040	116288	-632	-384	0	WP_024858476.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Ruminococcus	Ruminococcus albus SY3
Type	A0A011VUV0	GCF_000586615.1	+	116285	116668	-387	-4	0	WP_037288087.1	DUF2085 domain-containing protein	na	na_na	na_na_na	na_na_na_na	Ruminococcus	Ruminococcus albus SY3
Type	A0A011VUV0	GCF_000586615.1	+	116673	117299	1	627	0	WP_037288089.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Ruminococcus	Ruminococcus albus SY3
Type	A0A011VUV0	GCF_000586615.1	+	117356	118462	684	1790	0	WP_024858472.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Ruminococcus	Ruminococcus albus SY3
Type	A0A011VUV0	GCF_000586615.1	+	118477	119745	1805	3073	0	WP_024858471.1	O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase	na	na_na	na_na_na	na_na_na_na	Ruminococcus	Ruminococcus albus SY3
