Operon type	Target	AssemblyId	Gene direction	Gene start	Gene end	Relative gene start	Relative gene end	Protein family code	EntrzID	Protein name	Superkingdom	Phylum	Class	Order	Genus	Species

Type	A0A024HKA9	GCF_003186455.1	+	33797	34237	-5989	-5549	0	WP_019726334.1	single-stranded DNA-binding protein	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas aeruginosa
Type	A0A024HKA9	GCF_003186455.1	+	31506	33518	-5270	-3258	0	WP_009459717.1	DNA topoisomerase III	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas aeruginosa
Type	A0A024HKA9	GCF_003186455.1	+	29379	30986	-2738	-1131	0	WP_009459716.1	DNA cytosine methyltransferase	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas aeruginosa
Type	A0A024HKA9	GCF_003186455.1	+	28579	29136	-888	-331	0	WP_009459715.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas aeruginosa
Type	A0A024HKA9	GCF_003186455.1	+	28035	28247	1	213	0	WP_003290186.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas aeruginosa
Type	A0A024HKA9	GCF_003186455.1	+	27621	28013	235	627	0	WP_009459709.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas aeruginosa
Type	A0A024HKA9	GCF_003186455.1	+	26761	27447	801	1487	0	WP_009459708.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas aeruginosa
Type	A0A024HKA9	GCF_003186455.1	+	25943	26680	1568	2305	0	WP_009459707.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas aeruginosa
Type	A0A024HKA9	GCF_003186455.1	+	25567	25845	2403	2681	0	WP_009459701.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas aeruginosa

Type	A0A024HJR3	GCF_000689415.1	+	3381684	3382370	-3121	-2435	0	WP_011489288.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas knackmussii B13
Type	A0A024HJR3	GCF_000689415.1	+	3382450	3383187	-2355	-1618	0	WP_011489289.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas knackmussii B13
Type	A0A024HJR3	GCF_000689415.1	+	3383285	3383563	-1520	-1242	0	WP_003290191.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas knackmussii B13
Type	A0A024HJR3	GCF_000689415.1	+	3383850	3384662	-955	-143	0	WP_003290192.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas knackmussii B13
Type	A0A024HJR3	GCF_000689415.1	+	3384806	3385159	1	354	0	WP_003290193.1	DUF3085 domain-containing protein	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas knackmussii B13
Type	A0A024HJR3	GCF_000689415.1	+	3385305	3386147	500	1342	0	WP_011489292.1	phosphoadenosine phosphosulfate reductase family protein	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas knackmussii B13
Type	A0A024HJR3	GCF_000689415.1	+	3386195	3386662	1390	1857	0	WP_242411177.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas knackmussii B13
Type	A0A024HJR3	GCF_000689415.1	+	3386925	3387842	2120	3037	0	WP_003290197.1	DUF3577 domain-containing protein	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas knackmussii B13
Type	A0A024HJR3	GCF_000689415.1	+	3387900	3388589	3095	3784	0	WP_003290199.1	DUF3275 family protein	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas knackmussii B13

Type	A0A024HN85	GCF_000689415.1	+	5294241	5295746	-4239	-2734	0	WP_043255403.1	phage portal protein	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas knackmussii B13
Type	A0A024HN85	GCF_000689415.1	+	5292245	5294266	-2759	-738	0	WP_242411195.1	Mu-like prophage major head subunit gpT family protein	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas knackmussii B13
Type	A0A024HN85	GCF_000689415.1	+	5291821	5292174	-667	-314	0	WP_043255402.1	DUF2190 family protein	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas knackmussii B13
Type	A0A024HN85	GCF_000689415.1	+	5291503	5291817	-310	4	0	WP_052355377.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas knackmussii B13
Type	A0A024HN85	GCF_000689415.1	+	5291042	5291506	1	465	0	WP_043255400.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas knackmussii B13
Type	A0A024HN85	GCF_000689415.1	+	5290251	5291003	504	1256	0	WP_043255398.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas knackmussii B13
Type	A0A024HN85	GCF_000689415.1	+	5289544	5289855	1652	1963	0	WP_043255394.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas knackmussii B13
Type	A0A024HN85	GCF_000689415.1	+	5286847	5289441	2066	4660	0	WP_052355376.1	tape measure protein	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas knackmussii B13
Type	A0A024HN85	GCF_000689415.1	+	5286293	5286802	4705	5214	0	WP_043255393.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas knackmussii B13

Type	A0A024HP85	GCF_000689415.1	+	5885738	5886466	-3596	-2868	0	WP_043256296.1	CatB-related O-acetyltransferase	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas knackmussii B13
Type	A0A024HP85	GCF_000689415.1	-	5885397	5885729	-2859	-2527	0	WP_043256294.1	YegP family protein	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas knackmussii B13
Type	A0A024HP85	GCF_000689415.1	-	5884651	5885322	-2452	-1781	0	WP_043256292.1	ribose-5-phosphate isomerase RpiA	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas knackmussii B13
Type	A0A024HP85	GCF_000689415.1	+	5882994	5884538	-1668	-124	0	WP_277914512.1	threonine ammonia-lyase%2C biosynthetic	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas knackmussii B13
Type	A0A024HP85	GCF_000689415.1	+	5882402	5882869	1	468	0	WP_043256288.1	DUF2269 family protein	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas knackmussii B13
Type	A0A024HP85	GCF_000689415.1	+	5881903	5882370	500	967	0	WP_043256286.1	DUF2269 domain-containing protein	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas knackmussii B13
Type	A0A024HP85	GCF_000689415.1	-	5881237	5881896	974	1633	0	WP_043256285.1	HAD family phosphatase	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas knackmussii B13
Type	A0A024HP85	GCF_000689415.1	+	5880613	5881092	1778	2257	0	WP_043256283.1	RNA pyrophosphohydrolase	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas knackmussii B13
Type	A0A024HP85	GCF_000689415.1	+	5878311	5880590	2280	4559	0	WP_043256281.1	phosphoenolpyruvate--protein phosphotransferase	na	na_na	na_na_na	na_na_na_na	Pseudomonas	Pseudomonas knackmussii B13

Type	A0A024QHW8	GCF_014905475.1	-	125039	125218	-1199	-1020	0	WP_038246750.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Virgibacillus	Virgibacillus massiliensis
Type	A0A024QHW8	GCF_014905475.1	+	124630	124806	-787	-611	0	WP_187370482.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Virgibacillus	Virgibacillus massiliensis
Type	A0A024QHW8	GCF_014905475.1	+	124251	124616	-597	-232	0	WP_148530743.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Virgibacillus	Virgibacillus massiliensis
Type	A0A024QHW8	GCF_014905475.1	+	124036	124248	-229	-17	0	WP_038246742.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Virgibacillus	Virgibacillus massiliensis
Type	A0A024QHW8	GCF_014905475.1	+	123761	124018	1	258	0	WP_038246739.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Virgibacillus	Virgibacillus massiliensis
Type	A0A024QHW8	GCF_014905475.1	+	123357	123755	264	662	0	WP_158295263.1	DUF3307 domain-containing protein	na	na_na	na_na_na	na_na_na_na	Virgibacillus	Virgibacillus massiliensis
Type	A0A024QHW8	GCF_014905475.1	+	122769	123284	735	1250	0	WP_038246736.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Virgibacillus	Virgibacillus massiliensis
Type	A0A024QHW8	GCF_014905475.1	+	122017	122421	1598	2002	0	WP_038246731.1	hypothetical protein	na	na_na	na_na_na	na_na_na_na	Virgibacillus	Virgibacillus massiliensis
