Operon type	Target	AssemblyId	Gene direction	Gene start	Gene end	Relative gene start	Relative gene end	Protein family code	EntrzID	Protein name	Superkingdom	Phylum	Class	Order	Genus	Species


Type	B7L4Z9_ECO55	GCA_000026245.1	-	394790	396454	-7095	-5431	40	CAU96231.1	3-(3-hydroxyphenyl)propionate hydroxylase	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli 55989
Type	B7L4Z9_ECO55	GCA_000026245.1	+	393766	394713	-5354	-4407	39	CAU96230.1	DNA-binding transcriptional activator%2C 3HPP-binding	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli 55989
Type	B7L4Z9_ECO55	GCA_000026245.1	+	392607	393689	-4330	-3248	65	CAU96229.1	DNA-binding transcriptional repressor	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli 55989
Type	B7L4Z9_ECO55	GCA_000026245.1	+	389410	392484	-3125	-51	64	CAU96228.1	beta-D-galactosidase	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli 55989
Type	B7L4Z9_ECO55	GCA_000026245.1	+	388105	389358	1	1254	63	CAU96227.1	lactose/galactose transporter	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli 55989
Type	B7L4Z9_ECO55	GCA_000026245.1	+	387428	388039	1320	1931	38	CAU96226.1	thiogalactoside acetyltransferase	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli 55989
Type	B7L4Z9_ECO55	GCA_000026245.1	-	386171	387325	2034	3188	37	CAU96225.1	putative cyanate transporter	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli 55989
Type	B7L4Z9_ECO55	GCA_000026245.1	-	385668	386138	3221	3691	36	CAU96224.1	cyanate aminohydrolase	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli 55989
Type	B7L4Z9_ECO55	GCA_000026245.1	-	384978	385637	3722	4381	35	CAU96223.1	carbonic anhydrase	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli 55989

Type	A0A3T0R815_ECOLX	GCA_009709745.1	-	116890	118554	-7095	-5431	40	MTE89357.1	bifunctional 3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli
Type	A0A3T0R815_ECOLX	GCA_009709745.1	+	115866	116699	-5240	-4407	39	MTE89356.1	DNA-binding transcriptional activator MhpR	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli
Type	A0A3T0R815_ECOLX	GCA_009709745.1	+	114707	115789	-4330	-3248	65	MTE89355.1	LacI family DNA-binding transcriptional regulator	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Escherichia	Escherichia coli
