UniProtKB_AC,UniProtKB_ID,GeneID,RefSeq,PDB,UniParc,NCBI_taxon,EMBL_CDS,Ensembl,target,ncbi_code
Q0BX62,Q0BX62_HYPNA,,WP_011648226.1,,UPI0000E13921,228405,ABI77776.1,,WP_011648226.1,WP_011648226.1
A0A059FNC9,A0A059FNC9_9PROT,,WP_035616309.1,,UPI000458BDC6,1280950,KCZ92144.1,,WP_035616309.1,WP_035616309.1
A0A062VMK4,A0A062VMK4_9PROT,,WP_035595663.1,,UPI0004A04CC9,1280954,KCZ99412.1,,WP_035595663.1,WP_035595663.1
A0A062VIH5,A0A062VIH5_9PROT,,WP_035598202.1,,UPI0004A12CF0,1280954,KCZ98341.1,,WP_035598202.1,WP_035598202.1
A0A059FN92,A0A059FN92_9PROT,,WP_035616247.1,,UPI000458ADDE,1280950,KCZ92099.1,,KCZ92099.1,WP_035616247.1
A0A062VJW3,A0A062VJW3_9PROT,,WP_035598205.1,,UPI0004A149DB,1280954,KCZ98342.1,,WP_035598205.1,WP_035598205.1
A0A062VEY3,A0A062VEY3_9PROT,,WP_035598982.1,,UPI00049FDBE7,1280954,KCZ98029.1,,WP_035598982.1,WP_035598982.1
A0A016XKV0,A0A016XKV0_9BURK,,WP_035609885.1,,UPI000449C438,1458275,EYC52461.1,,WP_035609885.1,WP_035609885.1
A0A059FN49,A0A059FN49_9PROT,,WP_035616246.1,,UPI000458E617,1280950,KCZ92095.1,,WP_035616246.1,WP_035616246.1
A0A062VBK1,A0A062VBK1_9PROT,,WP_035600094.1,,UPI00049EF11B,1280954,KCZ97619.1,,WP_035600094.1,WP_035600094.1
A0A059FU10,A0A059FU10_9PROT,,WP_035613077.1,,UPI000458F00D,1280950,KCZ94154.1,,WP_035613077.1,WP_035613077.1
A0A062VBA9,A0A062VBA9_9PROT,,WP_035600476.1,,UPI0004A003C2,1280954,KCZ97516.1,,WP_035600476.1,WP_035600476.1
A0A062VFW1,A0A062VFW1_9PROT,,WP_035600591.1,,UPI0004A0E38B,1280954,KCZ97404.1,,WP_035600591.1,WP_035600591.1
A0A059FUB3,A0A059FUB3_9PROT,,WP_035612989.1,,UPI000458B802,1280950,KCZ94076.1,,WP_035612989.1,WP_035612989.1
A0A062VH89,A0A062VH89_9PROT,,WP_035600594.1,,UPI0004A033FC,1280954,KCZ97405.1,,WP_035600594.1,WP_035600594.1
A0A059FU12,A0A059FU12_9PROT,,WP_035612986.1,,UPI000458D8D3,1280950,KCZ94072.1,,WP_035612986.1,WP_035612986.1
A0A016XIV3,A0A016XIV3_9BURK,,WP_035608546.1,,UPI000448D977,1458275,EYC51840.1,,WP_035608546.1,WP_035608546.1
A0A059FSZ5,A0A059FSZ5_9PROT,,WP_035612434.1,,UPI000458E5F8,1280950,KCZ93799.1,,WP_035612434.1,WP_035612434.1
A0A062VIX5,A0A062VIX5_9PROT,,WP_035598987.1,,UPI00049EE5B4,1280954,KCZ98031.1,,WP_035598987.1,WP_035598987.1
A0A059FNU4,A0A059FNU4_9PROT,,WP_035616543.1,,UPI000458C376,1280950,KCZ92314.1,,WP_035616543.1,WP_035616543.1
A0A022PM40,A0A022PM40_9GAMM,,WP_036775449.1,,UPI00044C127D,2805098,EYU17167.1,,WP_036775449.1,WP_036775449.1
A0A022PQQ2,A0A022PQQ2_9GAMM,,WP_036775450.1,,UPI0004470D09,2805098,EYU17168.1,,WP_036775450.1,WP_036775450.1
A0A022PN55,A0A022PN55_9GAMM,,WP_036775622.1,,UPI0004456928,2805098,EYU17051.1,,WP_036775622.1,WP_036775622.1
A0A022PMB3,A0A022PMB3_9GAMM,,WP_036776043.1,,UPI000451B7BA,2805098,EYU16766.1,,WP_036776043.1,WP_036776043.1
A0A022PQW7,A0A022PQW7_9GAMM,,WP_036776046.1,,UPI00044CD0CB,2805098,EYU16770.1,,WP_036776046.1,WP_036776046.1
A0A022PKI3,A0A022PKI3_9GAMM,,WP_036776114.1,,UPI00044D61A0,2805098,EYU16637.1,,EYU16637.1,WP_036776114.1
A0A022PQG9,A0A022PQG9_9GAMM,,WP_036776115.1,,UPI0004472B6B,2805098,EYU16640.1,,EYU16640.1,WP_036776115.1
A0A022PLH2,A0A022PLH2_9GAMM,,WP_036777655.1,,UPI000451E8DB,2805098,EYU15843.1,,WP_036777655.1,WP_036777655.1
A0A022PJZ8,A0A022PJZ8_9GAMM,,WP_036777657.1,,UPI0004469973,2805098,EYU15844.1,,WP_036777657.1,WP_036777657.1
A0A022PKS1,A0A022PKS1_9GAMM,,WP_036778196.1,,UPI00044769A4,2805098,EYU15563.1,,EYU15563.1,WP_036778196.1
A0A022PJ76,A0A022PJ76_9GAMM,,WP_036778198.1,,UPI0004474F82,2805098,EYU15564.1,,EYU15564.1,WP_036778198.1
A0A022PM09,A0A022PM09_9GAMM,,WP_036778200.1,,UPI00044C5C23,2805098,EYU15565.1,,EYU15565.1,WP_036778200.1
A0A022PIC5,A0A022PIC5_9GAMM,,WP_036778406.1,,UPI0004459E8E,2805098,EYU15391.1,,WP_036778406.1,WP_036778406.1
