UniProtKB_AC,UniProtKB_ID,GeneID,RefSeq,PDB,UniParc,NCBI_taxon,EMBL_CDS,Ensembl,target,ncbi_code
A0A009H5D3,A0A009H5D3_9GAMM,,WP_017387535.1,,UPI0002DAB354,1310608,EXA93655.1,,EXA93655.1,WP_017387535.1
A0A011QAZ6,A0A011QAZ6_ACCRE,,,,UPI000452E755,522306,EXI86407.1,,EXI86407.1,EXI86407.1
A0A011PFP1,A0A011PFP1_ACCRE,,,,UPI0004504CEB,522306,EXI86406.1,,EXI86406.1,EXI86406.1
A0A011QBB5,A0A011QBB5_ACCRE,,,,UPI00044DAEA6,522306,EXI86405.1,,EXI86405.1,EXI86405.1
A0A011R5J5,A0A011R5J5_ACCRE,,,,UPI0004515CCC,522306,EXI86404.1,,EXI86404.1,EXI86404.1
A0A011NUK5,A0A011NUK5_ACCRE,,,,UPI00044B008A,522306,EXI86403.1,,EXI86403.1,EXI86403.1
A0A011QAZ0,A0A011QAZ0_ACCRE,,,,UPI00044E0FFE,522306,EXI86402.1,,EXI86402.1,EXI86402.1
A0A011PFN5,A0A011PFN5_ACCRE,,,,UPI000450627F,522306,EXI86401.1,,EXI86401.1,EXI86401.1
A0A011PF67,A0A011PF67_ACCRE,,,,UPI00044BF35B,522306,EXI86226.1,,EXI86226.1,EXI86226.1
A0A011QAS8,A0A011QAS8_ACCRE,,,,UPI00044E384D,522306,EXI86225.1,,EXI86225.1,EXI86225.1
A0A011R512,A0A011R512_ACCRE,,,,UPI00044F8E47,522306,EXI86224.1,,EXI86224.1,EXI86224.1
A0A011NTY9,A0A011NTY9_ACCRE,,,,UPI00044B3E59,522306,EXI86223.1,,EXI86223.1,EXI86223.1
A0A011QAE8,A0A011QAE8_ACCRE,,,,UPI00044AC05E,522306,EXI86222.1,,EXI86222.1,EXI86222.1
A0A011R4H5,A0A011R4H5_ACCRE,,,,UPI00044B7AB5,522306,EXI86029.1,,EXI86029.1,EXI86029.1
A0A011Q490,A0A011Q490_ACCRE,,,,UPI000450FE3E,522306,EXI84112.1,,EXI84112.1,EXI84112.1
A0A011QZ01,A0A011QZ01_ACCRE,,,,UPI000449648C,522306,EXI84109.1,,EXI84109.1,EXI84109.1
A0A011Q485,A0A011Q485_ACCRE,,,,UPI00044B80D5,522306,EXI84107.1,,EXI84107.1,EXI84107.1
A0A011NLS6,A0A011NLS6_9PROT,,,,UPI00044E63F6,1454005,EXI83723.1,,EXI83723.1,EXI83723.1
A0A011Q373,A0A011Q373_9PROT,,,,UPI000447DC65,1454005,EXI83722.1,,EXI83722.1,EXI83722.1
A0A011P823,A0A011P823_9PROT,,,,UPI00044E54A6,1454005,EXI83721.1,,EXI83721.1,EXI83721.1
A0A011Q3J4,A0A011Q3J4_9PROT,,,,UPI00044A89CA,1454005,EXI83720.1,,EXI83720.1,EXI83720.1
A0A011QXX2,A0A011QXX2_9PROT,,,,UPI00044ECC33,1454005,EXI83719.1,,EXI83719.1,EXI83719.1
A0A011NLS2,A0A011NLS2_9PROT,,,,UPI0004452D87,1454005,EXI83718.1,,EXI83718.1,EXI83718.1
A0A011P5Y9,A0A011P5Y9_9PROT,,,,UPI00044CB1ED,1454003,EXI82966.1,,EXI82966.1,EXI82966.1
